Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,Andy Abad*\abadan01,28,OAK,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.470,.500,0.0,0.0,0,,Free Agency,/3
2,Paul Abbott\abbotpa01,33,SEA,2,5,0,0,0,0,1,0,0.0,0,0,0.0,.513,.500,0.0,0.0,0,$1700000,Free Agency,1
3,Brent Abernathy\abernbr01,23,TBD,79,335,-3,0,1,-1,2,-1,0.0,13,12,1.2,.499,.500,1.3,0.2,13,,Traded,4
4,Israel Alcantara\alcanis01,28,BOS,14,41,-2,0,-1,-2,-1,-5,-0.5,2,-3,-0.3,.467,.497,-0.2,-0.2,-1,,Free Agency,/739D
5,Luis Alicea#\alicelu01,35,KCR,113,418,-12,0,0,-1,0,-13,-1.2,16,3,0.3,.489,.492,0.3,0.0,3,$800000,Free Agency,4D5
6,Chad Allen\allench01,26,MIN,57,195,1,-2,-1,-2,-3,-8,-0.7,7,0,0.0,.487,.495,0.2,-0.5,2,$240000,Amateur Draft,D79
7,Carlos Almanzar\almanca01,27,NYY,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$270000,Traded,1
8,Erick Almonte\almoner01,23,NYY,8,4,1,0,0,0,0,1,0.1,0,1,0.1,.509,.500,0.1,0.0,1,,Amateur Free Agent,/6D
9,Roberto Alomar#\alomaro01,33,CLE,157,677,44,6,1,-5,4,51,4.9,25,76,7.3,.531,.530,7.7,0.1,80,$7750000,Free Agency,*4
10,Sandy Alomar\alomasa02,35,CHW,70,239,-11,0,0,1,4,-7,-0.6,9,2,0.2,.490,.496,0.1,0.5,1,$2900000,Free Agency,2
11,Brady Anderson*\anderbr01,37,BAL,131,501,-21,1,2,2,-5,-22,-2.1,19,-3,-0.3,.484,.487,-0.5,-0.2,-5,$7200000,Free Agency,*97/8D
12,Garret Anderson*\anderga01,29,ANA,161,704,3,-2,0,6,-6,2,0.2,26,28,2.7,.501,.501,2.1,0.1,21,$4500000,Amateur Draft,*78D
13,Matt Anderson\anderma01,24,DET,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$355000,Amateur Draft,1
14,Rolando Arrojo\arrojro01,35,BOS,3,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.481,.500,-0.1,0.0,-1,$1625000,Traded,1
15,Jeff Austin\austije01,24,KCR,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
16,Mike Bacsik*\bacsimi02,23,CLE,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
17,Danys Baez\baezda01,23,CLE,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Free Agent,1
18,Cory Bailey\baileco01,30,KCR,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
19,Harold Baines*\baineha01,42,CHW,32,94,-14,0,0,0,-2,-15,-1.5,4,-12,-1.2,.452,.491,-1.2,-0.2,-12,$1000000,Free Agency,D
20,James Baldwin\baldwja01,29,CHW,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.469,.500,0.0,0.0,0,$5950000,Amateur Draft,1
21,John Bale*\balejo01,27,BAL,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,1
22,Grant Balfour\balfogr01,23,MIN,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Free Agent,/1
23,Willie Banks\bankswi01,32,BOS,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,/1
24,Lorenzo Barcelo\barcelo01,23,CHW,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,1
25,John Barnes\barnejo01,25,MIN,9,23,-5,0,0,1,0,-4,-0.4,1,-3,-0.3,.457,.498,-0.4,0.1,-4,$200000,Traded,/97
26,Larry Barnes*\barnela01,26,ANA,16,41,-7,0,0,1,-1,-7,-0.7,2,-6,-0.6,.454,.495,-0.7,0.0,-6,,Amateur Free Agent,3/7
27,Tony Batista\batisto01,27,2TM,156,622,-13,0,0,12,0,-2,-0.1,23,22,2.1,.499,.500,0.9,1.3,10,$3300000,Waivers,D56
28,Rick Bauer\bauerri01,24,BAL,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
29,Rod Beck\beckro01,32,BOS,4,1,0,0,0,0,0,0,0.0,0,0,0.0,.496,.500,0.0,0.0,0,$4500000,Traded,1
30,Kevin Beirne*\beirnke01,27,TOR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$223000,Traded,/1
31,David Bell\bellda01,28,SEA,135,510,-6,-1,-1,19,2,14,1.5,19,33,3.3,.510,.509,1.3,2.2,14,$2200000,Free Agency,*5/3
32,Rob Bell\bellro01,24,TEX,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,1
33,Mark Bellhorn#\bellhma01,26,OAK,38,82,-9,0,0,-2,0,-11,-1.0,3,-8,-0.8,.472,.494,-0.6,-0.2,-6,,Amateur Draft,4/56D9
34,Clay Bellinger\bellicl01,32,NYY,51,88,-6,-1,0,0,-1,-8,-0.8,3,-5,-0.5,.485,.495,-0.5,0.0,-5,$230000,Free Agency,578/396D
35,Carlos Beltran#\beltrca01,24,KCR,155,680,23,7,3,5,3,42,4.1,25,66,6.5,.526,.525,5.9,1.0,61,$425000,Amateur Draft,*8/D
36,Joaquin Benoit\benoijo01,23,TEX,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Free Agent,/1
37,Brandon Berger\bergebr01,26,KCR,6,18,2,0,0,0,0,2,0.2,1,3,0.3,.530,.501,0.3,-0.1,3,,Amateur Draft,/7D
38,Adam Bernero\bernead01,24,DET,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Free Agent,/1
39,Angel Berroa\berroan01,23,KCR,15,56,-2,1,0,1,1,0,0.0,2,2,0.2,.500,.500,0.1,0.2,1,,Traded,6
40,Dante Bichette\bicheda01,37,BOS,107,415,4,-4,-1,-3,-6,-11,-1.0,16,5,0.5,.490,.494,0.8,-0.9,8,$7000000,Traded,D79
41,Rocky Biddle\biddlro01,25,CHW,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.469,.500,0.0,0.0,0,$205000,Amateur Draft,1
42,Nick Bierbrodt*\bierbni01,23,TBD,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,1
43,Larry Bigbie*\bigbila01,23,BAL,47,149,-6,1,0,-1,0,-6,-0.6,6,0,0.0,.488,.496,0.1,-0.1,1,,Amateur Draft,89/7
44,Willie Blair\blairwi01,35,DET,3,2,-1,0,0,0,0,0,0.0,0,0,0.0,.491,.500,0.0,0.0,0,,Free Agency,/1
