Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,David Aardsma\aardsda01,26,BOS,5,1,0,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,$403250,Traded,1
2,Bobby Abreu*\abreubo01,34,NYY,156,684,18,-1,2,-11,-6,1,0.3,25,26,2.7,.501,.501,3.7,-1.6,37,$16000000,Traded,*9/D
3,Jeremy Accardo\accarje01,26,TOR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$392200,Traded,1
4,Alfredo Aceves\aceveal01,25,NYY,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,/1
5,Nick Adenhart\adenhni01,21,LAA,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
6,Jonathan Albaladejo\albaljo01,25,NYY,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$393225,Traded,/1
7,Matt Albers*\alberma01,25,BAL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$395000,Traded,1
8,Brian Anderson\anderbr03,26,CHW,109,193,-5,3,0,2,1,0,0.1,7,8,0.8,.500,.500,0.6,0.4,6,$395000,Amateur Draft,8/D79
9,Garret Anderson*\anderga01,36,LAA,145,593,-2,-3,0,0,-9,-14,-1.3,22,8,0.9,.490,.491,0.8,-0.8,8,$12600000,Amateur Draft,7D
10,Greg Aquino\aquingr01,30,BAL,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$500000,Waivers,/1
11,Joaquin Arias\ariasjo01,23,TEX,32,120,0,0,0,-3,1,-2,-0.2,5,3,0.3,.495,.499,0.6,-0.2,6,,Traded,4/D
12,Jose Arredondo\arredjo01,24,LAA,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Free Agent,1
13,Michael Aubrey*\aubremi01,26,CLE,15,50,-2,-1,0,-1,-1,-4,-0.4,2,-2,-0.2,.473,.497,-0.1,-0.2,-1,,Amateur Draft,3/D
14,Mike Aviles\avilemi01,27,KCR,102,441,9,3,0,12,6,30,3.1,16,46,4.7,.529,.518,3.4,1.9,34,,Amateur Draft,64/5
15,Erick Aybar#\aybarer01,24,LAA,98,375,-9,3,3,10,5,12,1.3,14,26,2.7,.512,.507,1.6,1.6,16,$415000,Amateur Free Agent,6/4
16,Willy Aybar#\aybarwi01,25,TBR,95,362,-2,-2,0,6,-2,0,0.1,14,13,1.4,.500,.500,0.7,0.5,7,$401200,Traded,5D34/6
17,Cha-Seung Baek\baekch01,28,SEA,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$392500,Free Agency,1
18,Jeff Bailey\baileje01,29,BOS,27,59,2,0,0,-2,-1,-3,-0.3,2,-1,-0.1,.489,.498,0.1,-0.3,1,,Free Agency,3/D79
19,Jeff Baisley\baislje01,25,OAK,14,47,-1,0,0,-3,0,-5,-0.5,2,-3,-0.3,.465,.497,0.0,-0.3,0,,Amateur Draft,5/3
20,Scott Baker\bakersc02,26,MIN,2,5,1,0,0,0,1,1,0.1,0,1,0.1,.555,.501,0.1,0.0,1,$422500,Amateur Draft,1
21,Rocco Baldelli\baldero01,26,TBR,28,90,3,0,0,0,-2,0,0.1,3,4,0.4,.501,.500,0.4,-0.2,4,$2250000,Amateur Draft,D/97
22,John Bale*\balejo01,34,KCR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$2200000,Free Agency,1
23,Wladimir Balentien\balenwl01,23,SEA,71,260,-14,0,-2,2,-1,-15,-1.5,10,-6,-0.6,.478,.490,-0.8,0.2,-8,,Amateur Free Agent,98/7D
24,Grant Balfour\balfogr01,30,TBR,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.485,.500,0.0,0.0,0,,Traded,1
25,Wes Bankston\bankswe01,24,OAK,17,63,-5,-1,0,-1,-1,-8,-0.8,2,-5,-0.5,.454,.495,-0.5,-0.2,-4,,Waivers,3/D
26,Brian Bannister\bannibr01,27,KCR,2,5,0,0,0,0,1,0,0.0,0,0,0.0,.513,.500,0.0,0.0,0,$421000,Traded,1
27,Rod Barajas\barajro01,32,TOR,104,377,-7,-3,-1,8,6,3,0.4,14,17,1.8,.503,.502,0.9,1.5,9,$700000,Free Agency,2/3D
28,Josh Barfield\barfijo02,25,CLE,12,33,-4,0,0,-2,0,-6,-0.6,1,-5,-0.5,.451,.496,-0.3,-0.2,-3,,Traded,/4
29,Jason Bartlett\bartlja01,28,TBR,128,494,-9,2,0,-1,6,-2,0.0,19,17,1.7,.499,.499,1.8,0.7,18,$416600,Traded,*6/D
30,Daric Barton*\bartoda02,22,OAK,140,523,-11,0,1,4,-7,-13,-1.2,20,7,0.7,.490,.492,0.2,-0.2,2,$390000,Traded,*3/5
31,Brian Bass\bassbr01,26,2TM,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$390000,Conditional Deal,/1
32,Miguel Batista\batismi01,37,SEA,4,1,0,0,0,0,0,0,0.0,0,0,0.0,.504,.500,0.0,0.0,0,$9500000,Free Agency,1
33,Rick Bauer\bauerri01,31,CLE,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1
34,Denny Bautista\bautide01,27,DET,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$395000,Traded,1
35,Jose Bautista\bautijo02,27,TOR,21,61,-4,0,0,1,-1,-3,-0.3,2,-1,-0.1,.484,.498,-0.2,0.1,-2,,Traded,/5D34
36,Jason Bay\bayja01,29,BOS,49,211,10,1,0,2,-2,11,1.2,8,19,1.9,.523,.507,1.7,0.1,17,,Traded,7
37,Yorman Bazardo\bazaryo01,23,DET,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$395000,Traded,/1
38,Josh Beckett\beckejo02,28,BOS,2,7,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.444,.499,-0.1,0.0,-1,$10166666,Traded,1
39,Erik Bedard*\bedarer01,29,SEA,2,4,0,0,0,0,1,1,0.1,0,1,0.1,.544,.501,0.1,0.0,1,$7000000,Traded,1
40,Francis Beltran\beltrfr01,28,DET,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Free Agency,1
41,Adrian Beltre\beltrad01,29,SEA,143,612,3,0,0,27,2,32,3.4,23,54,5.6,.523,.520,2.8,3.1,27,$13400000,Free Agency,*5/D
42,Armando Benitez\benitar01,35,TOR,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1
43,Joaquin Benoit\benoijo01,30,TEX,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2250000,Amateur Free Agent,1
44,Rafael Betancourt\betanra01,33,CLE,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2050000,Free Agency,1
45,Yuniesky Betancourt\betanyu01,26,SEA,153,590,-12,-3,-2,-14,8,-24,-2.2,22,-2,-0.1,.484,.485,1.2,-0.5,12,$1550000,Amateur Free Agent,*6
46,Wilson Betemit#\betemwi01,26,NYY,87,198,-3,-1,-1,-5,-1,-11,-1.1,7,-4,-0.4,.487,.493,0.1,-0.5,1,$1165000,Traded,356/4D
47,Randor Bierd\bierdra01,24,BAL,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$390000,Rule 5 Draft,1
48,Kurt Birkins*\birkiku01,27,TBR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$397600,Waivers,/1
49,Nick Blackburn\blackni01,26,MIN,1,3,0,0,0,0,0,0,0.0,0,0,0.0,.527,.500,0.0,0.0,0,$390000,Amateur Draft,1
50,Casey Blake\blakeca01,34,CLE,94,368,9,0,0,-6,0,4,0.5,14,18,1.8,.504,.502,2.4,-0.5,24,$6100000,Free Agency,53/6
51,Hank Blalock*\blaloha01,27,TEX,65,281,5,-2,-1,-1,-1,-2,-0.1,10,9,0.9,.498,.499,1.0,-0.2,10,$6000000,Amateur Draft,35
52,Joe Blanton\blantjo01,27,OAK,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,$3700000,Amateur Draft,1
53,Jerry Blevins*\blevije01,24,OAK,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,1
54,Willie Bloomquist\bloomwi01,30,SEA,71,192,0,1,1,3,0,5,0.6,7,12,1.3,.507,.503,1.0,0.4,9,$1000000,Amateur Draft--no sign,896/74D5
55,Brandon Boggs#\boggsbr01,25,TEX,101,334,-4,-1,1,4,-5,-5,-0.4,13,8,0.8,.495,.497,0.4,0.0,4,,Amateur Draft,7D/89
56,Jeremy Bonderman\bondeje01,25,DET,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.469,.500,0.0,0.0,0,$8500000,Traded,1
57,Eddie Bonine\bonined01,27,DET,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.469,.500,0.0,0.0,0,,Rule 5 Draft,/1
58,Boof Bonser\bonsebo01,26,MIN,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$432500,Traded,1
59,Chris Bootcheck\bootcch01,29,LAA,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$415000,Amateur Draft,1
60,Joe Borowski\borowjo01,37,CLE,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4000000,Free Agency,1
61,Jason Botts#\bottsja01,27,TEX,15,46,0,0,1,-1,-1,-2,-0.2,2,0,0.0,.489,.499,0.1,-0.2,1,$394190,Amateur Draft,/3D7
62,Jason Bourgeois\bourgja01,26,CHW,6,3,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/D4
63,Michael Bowden\bowdemi01,21,BOS,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
64,Rob Bowen#\bowenro01,27,OAK,37,98,-7,0,0,0,2,-6,-0.5,4,-2,-0.2,.485,.497,-0.2,0.2,-2,$410000,Traded,2/3D
65,Dallas Braden*\bradeda01,24,OAK,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,1
66,Chad Bradford\bradfch01,33,2TM,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3666666,Free Agency,1
67,Milton Bradley#\bradlmi01,30,TEX,126,510,40,-1,0,4,-10,32,3.3,19,51,5.2,.525,.520,4.7,-0.5,47,$5250000,Free Agency,D9/7
68,Craig Breslow*\breslcr01,27,2TM,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$392000,Waivers,/1
69,Reid Brignac#\brignre01,22,TBR,4,11,-3,0,0,-2,0,-4,-0.4,0,-4,-0.4,.391,.497,-0.2,-0.2,-2,,Amateur Draft,/6
70,Chris Britton\brittch01,25,NYY,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
71,Lance Broadway\broadla01,24,CHW,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
72,Ben Broussard*\brousbe01,31,TEX,26,89,-8,0,0,-3,-1,-13,-1.3,3,-10,-1.0,.450,.492,-0.7,-0.4,-6,$3850000,Traded,3
73,Andrew Brown\brownan01,27,OAK,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$395000,Traded,1
74,Emil Brown\brownem01,33,OAK,117,438,-8,1,-2,-3,-6,-17,-1.6,16,-1,0.0,.485,.489,0.2,-0.8,2,$1400000,Free Agency,79/D38
75,Matthew Brown\brownma05,25,LAA,11,20,-4,0,0,-2,0,-6,-0.6,1,-5,-0.5,.446,.496,-0.3,-0.2,-3,,Amateur Draft,5/4
76,Brian Bruney\brunebr01,26,NYY,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$725000,Free Agency,1
77,Clay Buchholz*\buchhcl01,23,BOS,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$396000,Amateur Draft,1
78,John Buck\buckjo01,27,KCR,109,418,-12,-1,-1,-12,7,-19,-1.8,16,-3,-0.3,.483,.488,0.9,-0.4,9,$2200000,Traded,2
79,Travis Buck*\bucktr01,24,OAK,38,172,-2,0,0,2,-2,-3,-0.2,6,3,0.4,.493,.498,0.1,0.1,1,$400000,Amateur Draft,97
80,Ryan Budde\buddery01,28,LAA,8,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.486,.499,-0.1,0.0,-1,,Rule 5 returned,/2D
