Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,Brent Abernathy\abernbr01,27,MIN,24,79,-4,0,0,-1,0,-4,-0.4,3,-1,-0.2,.482,.497,-0.1,-0.1,0,,Free Agency,4/7D
2,Russ Adams*\adamsru01,24,TOR,139,545,-9,0,4,-13,7,-11,-1.1,20,9,0.9,.492,.493,2.2,-0.6,22,$316000,Amateur Draft,*6
3,Jon Adkins*\adkinjo01,27,CHW,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,/1
4,Jeremy Affeldt*\affelje01,26,KCR,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$950000,Amateur Draft,1
5,Chad Allen\allench01,30,TEX,21,56,-2,0,0,0,-2,-5,-0.5,2,-3,-0.3,.478,.497,-0.3,-0.2,-3,$380000,Free Agency,D/79
6,Carlos Almanzar\almanca01,31,TEX,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$1100000,Free Agency,/1
7,Sandy Alomar\alomasa02,39,TEX,46,137,-5,0,0,-3,2,-7,-0.7,5,-2,-0.2,.485,.496,0.1,0.0,1,$550000,Free Agency,2
8,Abe Alvarez*\alvarab01,22,BOS,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
9,Chip Ambres\ambrech01,25,KCR,53,167,-1,0,-1,-6,-1,-8,-0.8,6,-2,-0.2,.485,.495,0.5,-0.6,5,,Traded,87/D
10,Brian Anderson#\anderbr02,33,KCR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$3250000,Traded,/1
11,Brian Anderson\anderbr03,23,CHW,13,35,-3,0,0,3,0,0,0.0,1,1,0.1,.497,.500,-0.2,0.3,-2,,Amateur Draft,/789
12,Garret Anderson*\anderga01,33,LAA,142,603,-6,-2,0,-7,-8,-22,-2.2,22,1,0.0,.484,.486,0.7,-1.4,8,$9600000,Amateur Draft,7D
13,Jason Anderson*\anderja01,26,NYY,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Waivers,/1
14,Bronson Arroyo\arroybr01,28,BOS,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.485,.500,0.0,0.0,0,$1850000,Waivers,1
15,Pedro Astacio\astacpe01,36,TEX,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.485,.500,0.0,0.0,0,$800000,Free Agency,1
16,Scott Atchison\atchisc01,29,SEA,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$323000,Amateur Draft,/1
