Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
1,David Aardsma\aardsda01,25,CHW,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$387500,Traded,1
2,Bobby Abreu*\abreubo01,33,NYY,158,699,10,2,4,-11,-6,-1,0.0,25,25,2.4,.500,.500,3.5,-1.6,36,$15000000,Traded,*9/D
3,Jeremy Accardo\accarje01,25,TOR,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$392200,Traded,1
4,Russ Adams*\adamsru01,26,TOR,27,69,-1,0,0,-5,0,-6,-0.6,3,-4,-0.4,.477,.496,0.1,-0.5,1,,Amateur Draft,5/D4
5,Brian Anderson\anderbr03,25,CHW,13,19,-3,0,0,-3,0,-6,-0.6,1,-5,-0.5,.457,.497,-0.2,-0.3,-2,$390000,Amateur Draft,/78D
6,Garret Anderson*\anderga01,35,LAA,108,450,4,1,2,0,-5,2,0.2,17,19,1.8,.502,.501,1.8,-0.5,19,$11600000,Amateur Draft,7D
7,Erick Aybar#\aybarer01,23,LAA,79,211,-16,-3,-1,3,2,-15,-1.5,8,-7,-0.7,.481,.491,-1.0,0.5,-10,$382500,Amateur Free Agent,46/7D95
8,Cha-Seung Baek\baekch01,27,SEA,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,Free Agency,1
9,Danys Baez\baezda01,29,BAL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$5666667,Free Agency,1
10,Jeff Bailey\baileje01,28,BOS,3,9,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.470,.499,-0.1,0.0,-1,,Free Agency,/3
11,Scott Baker\bakersc02,25,MIN,2,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.469,.500,-0.1,0.0,-1,,Amateur Draft,1
12,Paul Bako*\bakopa01,35,BAL,60,174,-14,-1,0,0,3,-11,-1.1,7,-4,-0.5,.482,.493,-0.5,0.3,-4,$900000,Free Agency,2
13,Rocco Baldelli\baldero01,25,TBD,35,150,-7,1,1,2,-1,-5,-0.5,6,1,0.1,.487,.497,-0.1,0.1,-1,$750000,Amateur Draft,8D
14,John Bale*\balejo01,33,KCR,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$1800000,Free Agency,1
15,Wladimir Balentien\balenwl01,22,SEA,3,4,2,0,0,-1,0,1,0.1,0,1,0.1,.518,.500,0.2,-0.1,2,,Amateur Free Agent,/97
