Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
219,Sidney Ponson\ponsosi01,29,NYY,16.1,5,3,20,11.02,4.88,-0.39,0.04,100.8,5.35,-10,-0.9,.39,0.1,-0.6,-8,.328,.495,,Free Agency
220,Scott Proctor\proctsc01,29,NYY,102.1,83,0,41,3.61,5.05,-0.31,-0.37,99.4,4.96,14,1.4,1.45,0.1,2.6,27,.517,.509,$352675,Traded
221,J.J. Putz\putzjj01,29,SEA,78.1,72,0,20,2.30,5.02,0.22,-0.37,96.1,4.25,16,1.6,1.71,0.4,2.8,26,.522,.510,$415000,Amateur Draft
222,Brad Radke\radkebr01,33,MIN,162.1,28,28,87,4.82,4.98,0.08,0.19,98.5,5.01,2,0.2,,-0.1,1.8,22,.506,.501,$9000000,Free Agency
223,Darrell Rasner\rasneda01,25,NYY,20.1,6,3,10,4.43,4.94,-0.35,0.02,98.7,5.24,2,0.2,1.65,0.0,0.4,4,.527,.501,,Waivers
224,Chris Ray\raych01,24,BAL,66.0,61,0,22,3.00,5.01,-0.04,-0.37,98.6,4.62,11,1.1,1.61,0.2,2.0,19,.518,.507,$335000,Amateur Draft
225,Mark Redman*\redmama01,32,KCR,167.0,29,29,110,5.93,4.95,0.19,0.18,103.4,5.12,-17,-1.6,,-0.1,0.1,4,.446,.490,$4500000,Traded
226,Dennys Reyes*\reyesde01,29,MIN,50.2,66,0,8,1.42,5.13,0.06,-0.38,98.4,4.61,17,1.7,1.04,-0.1,2.2,24,.526,.511,,Free Agency
227,John Rheinecker*\rheinjo01,27,TEX,70.2,21,13,46,5.86,5.04,0.07,0.15,102.5,5.26,-5,-0.5,1.02,-0.1,0.2,3,.476,.497,,Traded
228,Juan Rincon\rincoju01,27,MIN,74.1,75,0,30,3.63,4.99,0.07,-0.37,98.5,4.48,6,0.6,1.18,-0.1,1.3,15,.508,.504,$900000,Amateur Free Agent
