Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
362,Mike Lamb*\lambmi01,32,MIL,11,11,0,0,0,-1,0,-1,-0.1,0,0,0.0,.494,.500,0.1,-0.1,1,,Free Agency,/5
363,Ryan Langerhans*\langery01,28,WSN,73,139,1,0,1,1,-2,2,0.1,4,6,0.5,.502,.501,0.4,-0.1,5,,Free Agency,79/3D
364,John Lannan*\lannajo01,23,WSN,29,55,-10,0,0,0,8,-3,-0.3,0,-3,-0.3,.490,.498,-0.3,0.0,-3,,Amateur Draft,1
365,Adam LaRoche*\larocad01,28,PIT,136,554,13,-2,0,-5,-7,-2,-0.3,17,16,1.3,.499,.499,1.9,-1.3,21,$5000000,Traded,*3/D
366,Andy LaRoche\larocan01,24,2TM,76,252,-21,1,-1,2,1,-17,-1.9,8,-10,-1.1,.476,.494,-1.3,0.3,-12,$392500,Amateur Draft,5/43
367,Jason LaRue\larueja01,34,STL,61,189,-8,-1,0,0,3,-7,-0.8,6,-1,-0.2,.489,.496,-0.2,0.3,-1,$850000,Free Agency,2/3
368,Wade LeBlanc*\leblawa01,23,SDP,5,9,0,0,0,0,1,1,0.1,0,1,0.1,.528,.501,0.1,0.0,1,,Amateur Draft,/1
369,Wil Ledezma*\ledezwi01,27,2TM,28,13,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,$620000,Waivers,/1
370,Carlos Lee\leeca01,32,HOU,115,481,26,-1,-1,-6,-4,15,1.3,15,30,2.8,.513,.509,3.4,-1.1,36,$12500000,Free Agency,*7/D
371,Derrek Lee\leede02,32,CHC,155,698,8,-2,-2,6,-9,1,-0.1,21,22,1.9,.501,.500,1.4,-0.4,16,$13250000,Traded,*3/D
372,Fred Lewis*\lewisfr02,27,SFG,133,521,5,3,1,-2,-4,2,0.1,16,19,1.6,.502,.501,1.9,-0.7,21,$392000,Amateur Draft,*78/9
373,Brad Lidge\lidgebr01,31,PHI,71,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$6350000,Traded,1
374,Jon Lieber*\liebejo01,38,CHC,24,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.496,.499,-0.1,0.0,-1,$3500000,Free Agency,1
375,Brent Lillibridge\lillibr01,24,ATL,29,85,-5,1,1,-3,1,-6,-0.6,3,-3,-0.4,.480,.496,-0.1,-0.2,0,,Traded,6/5
376,Ted Lilly*\lillyte01,32,CHC,33,75,-10,0,0,0,11,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$8000000,Free Agency,1
377,Tim Lincecum*\linceti01,24,SFG,32,81,-10,0,0,0,12,2,0.2,0,2,0.2,.507,.501,0.2,0.0,2,$405000,Amateur Draft,1
378,Mike Lincoln\lincomi01,33,CIN,61,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$550000,Free Agency,1
379,Matt Lindstrom\lindsma01,28,FLA,65,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$395000,Traded,1
380,Paul Lo Duca\loducpa01,36,2TM,67,193,-7,0,-1,-6,0,-14,-1.5,6,-8,-0.9,.479,.494,-0.3,-0.6,-2,$5000000,Free Agency,/23
381,Esteban Loaiza\loaizes01,36,LAD,7,9,0,0,0,0,1,1,0.1,0,1,0.1,.509,.500,0.1,0.0,1,$7500000,Waivers,/1
382,Kyle Lohse\lohseky01,29,STL,31,72,-14,-1,0,0,10,-5,-0.5,0,-5,-0.5,.485,.497,-0.5,0.0,-5,$4250000,Free Agency,1
383,James Loney*\loneyja01,24,LAD,161,651,2,0,-3,1,-8,-9,-1.1,20,12,0.8,.494,.494,0.8,-0.9,10,$411000,Amateur Draft,*3
384,Braden Looper\loopebr01,33,STL,40,80,-4,0,-1,0,9,5,0.4,1,5,0.5,.512,.503,0.5,0.0,5,$5500000,Free Agency,1
385,Felipe Lopez#\lopezfe01,28,2TM,143,532,-5,-3,0,-12,3,-17,-1.9,17,0,-0.3,.488,.490,1.0,-1.0,12,$4900000,Free Agency,45/7639
386,Mark Loretta\loretma01,36,HOU,101,297,-2,-1,-1,0,2,-2,-0.3,9,7,0.6,.498,.499,0.6,0.1,7,$2750000,Free Agency,45/63
387,Derek Lowe\lowede01,35,LAD,32,75,-9,-1,0,0,11,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,$10000000,Free Agency,1
388,Ryan Ludwick\ludwiry01,29,STL,152,617,40,0,0,4,-6,38,3.6,19,58,5.5,.525,.524,5.2,-0.3,54,$411000,Free Agency,*978
389,Brandon Lyon\lyonbr01,28,ARI,60,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3125000,Traded,1
390,Drew Macias*\maciadr01,25,SDP,17,25,0,0,0,1,0,0,0.0,1,1,0.1,.502,.500,0.0,0.1,0,,Amateur Draft,/79
391,Rob Mackowiak*\mackoro01,32,WSN,38,63,-6,0,0,-1,0,-8,-0.8,2,-6,-0.6,.480,.495,-0.5,-0.2,-5,$1500000,Free Agency,7/9
392,Greg Maddux\maddugr01,42,2TM,33,62,-11,0,0,0,9,-2,-0.3,0,-2,-0.3,.493,.499,-0.2,0.0,-2,$10000000,Traded,/1
393,Ryan Madson*\madsory01,27,PHI,73,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1400000,Amateur Draft,1
394,Paul Maholm*\maholpa01,26,PIT,30,73,-11,-1,0,0,10,-1,-0.1,0,-1,-0.1,.496,.499,-0.1,0.0,-1,$424500,Amateur Draft,1
