Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
132,Yimi Garcia\garciyi01,28,LAD,62.1,64,0,28,4.04,4.68,0.44,-0.32,96.3,3.78,-2,-0.2,.76,-0.1,0.3,4,.497,.499,$710000,Amateur Free Agent
133,Amir Garrett*\garream01,27,CIN,56.0,69,0,22,3.54,4.98,0.19,-0.34,101.4,4.52,6,0.6,1.58,0.1,1.2,11,.509,.504,$567500,Amateur Draft
134,Kevin Gausman\gausmke01,28,2TM,102.1,31,17,71,6.24,4.77,0.20,0.09,101.6,4.74,-17,-1.6,.89,-0.1,-0.7,-8,.450,.495,$9350000,Traded
135,Kevin Ginkel\ginkeke01,25,ARI,24.1,25,0,7,2.59,4.74,0.35,-0.32,103.0,4.19,4,0.4,1.35,0.0,0.7,7,.518,.503,,Amateur Draft
136,Zack Godley\godleza01,29,ARI,76.0,27,9,55,6.51,4.86,0.46,-0.02,100.2,4.40,-18,-1.7,.55,0.1,-0.9,-11,.437,.490,$609400,Traded
137,Tony Gonsolin\gonsoto01,25,LAD,40.0,11,6,15,3.38,4.83,0.47,0.05,99.1,4.37,5,0.5,.72,-0.1,0.8,8,.542,.503,,Amateur Draft
138,Chi Chi Gonzalez\gonzach01,27,COL,63.0,14,12,39,5.57,5.05,-0.09,0.23,111.9,6.00,3,0.3,1.12,0.0,0.9,9,.523,.502,,Free Agency
139,Gio Gonzalez*\gonzagi01,33,MIL,87.1,19,17,36,3.71,4.86,0.28,0.18,101.8,4.84,11,1.2,1.06,-0.1,1.9,19,.561,.507,$2000000,Free Agency
140,Trevor Gott\gotttr01,26,SFG,52.2,50,0,26,4.44,4.86,0.20,-0.33,94.9,4.11,-2,-0.2,1.16,-0.1,0.2,3,.496,.499,$567500,Purchased
141,Matt Grace*\gracema02,30,WSN,46.2,51,1,34,6.56,4.74,-0.08,-0.32,105.7,4.75,-9,-0.9,.81,0.0,-0.5,-5,.482,.494,$576400,Amateur Draft
142,Jon Gray\grayjo02,27,COL,150.0,26,25,70,4.20,4.85,-0.08,0.22,115.9,5.96,30,3.2,4.46,-0.1,4.5,43,.624,.520,$2935000,Amateur Draft
143,Sonny Gray\grayso01,29,CIN,175.1,31,31,59,3.03,4.80,0.20,0.21,103.0,4.96,38,4.2,,-0.1,5.6,54,.634,.526,$7500000,Traded
144,Shane Greene\greensh02,30,ATL,24.2,27,0,11,4.01,5.00,0.20,-0.34,101.2,4.52,1,0.1,1.34,0.0,0.4,4,.505,.501,,Traded
145,Luke Gregerson\gregelu01,35,STL,5.2,6,0,5,7.94,4.75,0.43,-0.32,99.2,3.96,-2,-0.2,.09,0.1,-0.1,-2,.460,.499,$5000000,Free Agency
146,Zack Greinke\greinza01,35,ARI,146.0,23,23,48,2.96,4.77,0.40,0.21,101.5,4.65,28,3.0,,-0.1,4.2,41,.632,.519,$34500000,Free Agency
147,Robert Gsellman\gsellro01,25,NYM,63.2,52,0,36,5.09,4.73,-0.45,-0.32,92.0,4.47,-4,-0.4,1.27,-0.2,0.0,2,.492,.497,$582500,Amateur Draft
148,Deolis Guerra\guerrde01,30,MIL,0.2,1,0,4,54.00,4.94,0.92,-0.34,94.0,3.47,-4,-0.3,.19,0.1,-0.2,-4,.229,.498,,Free Agency
149,Javy Guerra\guerrja01,33,WSN,53.2,40,0,30,5.03,4.71,-0.07,-0.32,104.7,4.67,-2,-0.2,.70,-0.1,0.2,3,.495,.499,,Waivers
150,Javy Guerra\guerrja02,23,SDP,8.2,8,0,5,5.19,4.76,0.22,-0.32,104.2,4.40,-1,-0.1,.64,0.0,0.0,0,.491,.500,,Traded
151,Junior Guerra\guerrju02,34,MIL,83.2,72,0,35,3.76,4.92,0.27,-0.33,100.0,4.32,5,0.5,1.54,0.0,1.3,13,.508,.503,$2225000,Waivers
152,Tayron Guerrero\guerrta01,28,MIA,46.0,52,0,34,6.65,4.83,-0.06,-0.33,95.6,4.36,-12,-1.1,.78,0.0,-0.7,-7,.478,.493,$565000,Traded
153,Jandel Gustave\gustaja01,26,SFG,24.1,23,0,11,4.07,4.92,0.24,-0.33,96.9,4.22,0,0.0,1.39,0.0,0.2,3,.502,.500,,Free Agency
154,Jedd Gyorko\gyorkje01,30,STL,0.1,1,0,0,0.00,4.21,0.00,-0.30,94.0,3.67,0,0.0,.00,0.0,0.0,0,.514,.500,$13000000,Traded
155,Josh Hader*\haderjo01,25,MIL,75.2,61,0,24,2.85,4.87,0.17,-0.33,100.6,4.40,13,1.3,2.08,0.6,2.6,20,.522,.508,$687600,Traded
156,Cole Hamels*\hamelco01,35,CHC,141.2,27,27,64,4.07,4.78,-0.02,0.21,103.0,5.16,18,1.8,,-0.1,3.0,30,.568,.511,$20000000,Traded
157,J.D. Hammer\hammejd01,24,PHI,19.0,20,0,8,3.79,5.05,0.23,-0.34,102.2,4.58,2,0.2,.59,-0.1,0.3,3,.509,.501,,Traded
158,Donnie Hart*\hartdo01,28,2TM,7.2,5,0,0,0.00,4.66,0.19,-0.32,101.0,4.19,4,0.4,.31,-0.1,0.3,4,.576,.502,,Waivers
159,Geoff Hartlieb\hartlge01,25,PIT,35.0,29,0,35,9.00,4.81,-0.45,-0.33,98.9,4.88,-16,-1.5,.45,0.4,-0.9,-13,.447,.491,,Amateur Draft
160,Joe Harvey\harvejo01,27,COL,8.0,9,0,5,5.63,4.91,-0.08,-0.33,121.9,5.68,0,0.0,.79,0.0,0.1,1,.501,.500,,Traded
161,Jeremy Hellickson\hellije01,32,WSN,39.0,9,8,31,7.15,4.67,-0.07,0.18,110.3,5.43,-7,-0.7,.15,0.0,-0.4,-4,.423,.496,$1300000,Free Agency
162,Ryan Helsley\helslry01,24,STL,36.2,24,0,13,3.19,4.61,0.31,-0.31,99.0,3.95,3,0.3,.80,-0.1,0.6,7,.513,.502,,Amateur Draft
163,Kyle Hendricks\hendrky01,29,CHC,177.0,30,30,78,3.97,4.82,-0.02,0.22,100.1,5.06,22,2.3,,-0.1,3.8,38,.577,.514,$7405000,Traded
164,Jimmy Herget\hergeji01,25,CIN,6.1,5,0,3,4.26,4.84,0.30,-0.33,105.5,4.45,0,0.0,.06,0.0,0.1,1,.503,.500,,Amateur Draft
165,David Hernandez\hernada01,34,CIN,42.2,47,0,39,8.23,4.94,0.24,-0.33,101.1,4.42,-18,-1.7,1.48,-0.5,-1.9,-14,.463,.489,$2500000,Free Agency
166,Elieser Hernandez\hernael01,24,MIA,82.1,21,15,49,5.36,4.92,-0.06,0.17,95.7,4.93,-4,-0.4,.55,-0.1,0.3,4,.482,.498,,Rule 5 Draft
167,Jordan Hicks\hicksjo03,22,STL,28.2,29,0,10,3.14,4.75,0.24,-0.32,97.9,4.10,3,0.3,1.35,0.0,0.6,6,.511,.502,$555000,Amateur Draft
168,Rich Hill*\hillri01,39,LAD,58.2,13,13,20,3.07,4.79,0.43,0.21,91.0,4.16,7,0.8,,0.0,1.3,13,.558,.505,$18666666,Traded
169,Yoshihisa Hirano\hiranyo01,35,ARI,53.0,62,0,31,5.26,4.85,0.40,-0.33,103.4,4.26,-6,-0.6,1.48,-0.2,-0.3,-1,.491,.496,$3000000,Free Agency
170,Jeff Hoffman\hoffmje02,26,COL,70.0,15,15,51,6.56,4.85,-0.08,0.22,120.3,6.19,-3,-0.3,,0.0,0.3,4,.482,.498,,Traded
171,Bryan Holaday\holadbr01,31,MIA,0.1,1,0,0,0.00,6.16,-0.05,-0.41,92.0,5.35,0,0.0,.00,0.0,0.0,0,.520,.500,,Free Agency
172,Derek Holland*\hollade01,32,2TM,84.1,51,8,61,6.51,4.89,0.17,-0.09,95.2,4.41,-20,-1.9,.80,0.0,-1.1,-12,.463,.493,$6500000,Traded
173,Greg Holland\hollagr01,33,ARI,35.2,40,0,18,4.54,4.89,0.35,-0.33,99.8,4.19,-1,-0.1,1.69,-0.1,0.1,2,.497,.499,$3250000,Free Agency
174,Clay Holmes\holmecl01,26,PIT,50.0,35,0,36,6.48,4.76,-0.38,-0.32,96.6,4.65,-10,-1.0,.64,0.1,-0.5,-5,.472,.494,,Amateur Draft
175,Adrian Houser\housead01,26,MIL,111.1,35,18,49,3.96,4.76,0.27,0.05,101.0,4.58,8,0.8,1.22,-0.1,1.7,18,.523,.505,,Traded
176,Sam Howard*\howarsa01,26,COL,19.0,20,0,16,7.58,5.25,-0.08,-0.36,112.9,5.62,-4,-0.4,.88,0.0,-0.2,-2,.480,.498,,Free Agency
177,Dakota Hudson\hudsoda02,24,STL,174.2,33,32,80,4.12,4.69,0.31,0.20,97.7,4.48,7,0.8,7.38,-0.1,2.2,23,.523,.505,$559100,Amateur Draft
178,Daniel Hudson\hudsoda01,32,WSN,25.0,24,0,7,2.52,4.80,-0.06,-0.33,99.9,4.53,6,0.6,1.45,0.1,0.9,8,.524,.504,,Traded
179,Jared Hughes\hugheja02,33,2TM,71.1,72,0,37,4.67,4.88,0.23,-0.33,102.7,4.44,-2,-0.2,1.12,-0.1,0.4,5,.498,.499,$2125000,Free Agency
180,Danny Hultzen*\hultzda01,29,CHC,3.1,6,0,0,0.00,5.71,-0.02,-0.39,100.2,5.36,2,0.2,.69,0.0,0.2,2,.534,.501,,Free Agency
181,Tommy Hunter\hunteto02,32,PHI,5.1,5,0,0,0.00,5.02,0.19,-0.34,90.4,4.06,2,0.3,.68,-0.1,0.3,3,.550,.502,$9000000,Free Agency
182,Raisel Iglesias\iglesra01,29,CIN,67.0,68,0,31,4.16,4.89,0.20,-0.33,101.5,4.42,2,0.2,1.98,0.0,0.8,8,.503,.501,$5714285,Amateur Free Agent
183,Cole Irvin*\irvinco01,25,PHI,41.2,16,3,28,6.05,4.63,0.25,-0.09,102.2,4.38,-8,-0.7,.68,0.0,-0.4,-4,.454,.495,,Amateur Draft
184,Jay Jackson\jacksja01,31,MIL,30.1,28,0,15,4.45,4.63,0.21,-0.31,101.9,4.18,-1,-0.1,.58,0.0,0.2,2,.497,.499,,Free Agency
185,Luke Jackson\jackslu01,27,ATL,72.2,70,0,34,4.21,4.72,0.17,-0.32,102.8,4.35,1,0.1,1.61,-0.1,0.7,8,.502,.501,$585000,Free Agency
186,Kenley Jansen\janseke01,31,LAD,63.0,62,0,28,4.00,4.67,0.44,-0.32,94.1,3.68,-2,-0.2,1.76,-0.2,0.2,4,.497,.499,$19333334,Free Agency
187,Jeremy Jeffress\jeffrje01,31,MIL,52.0,48,0,32,5.54,4.84,0.30,-0.33,100.1,4.21,-8,-0.7,1.12,-0.2,-0.4,-3,.484,.495,$3175000,Traded
188,Dan Jennings*\jennida01,32,WSN,4.2,8,0,8,15.43,5.44,-0.07,-0.37,104.6,5.38,-5,-0.5,.93,0.0,-0.4,-5,.438,.497,,Free Agency
189,Williams Jerez*\jerezwi01,27,2TM,10.1,12,0,5,4.35,5.12,-0.01,-0.35,97.4,4.66,0,0.0,.70,0.0,0.1,1,.503,.500,,Waivers
