Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,Manny Acosta\acostma01,28,ATL,37.1,36,0,19,4.58,4.58,-0.07,-0.34,99.4,4.29,-1,-0.1,.66,-0.1,0.2,2,.496,.499,$412500,Free Agency
2,Mike Adams\adamsmi03,30,SDP,37.0,37,0,9,2.19,4.59,-0.06,-0.34,89.3,3.85,7,0.7,1.32,0.0,1.1,10,.519,.504,$414800,Traded
3,Jeremy Affeldt*\affelje01,30,SFG,62.1,74,0,14,2.02,4.66,0.05,-0.34,101.1,4.31,16,1.7,1.61,0.4,2.6,21,.523,.510,$3500000,Free Agency
4,Alberto Arias\ariasal02,25,HOU,45.2,42,0,21,4.14,4.52,-0.01,-0.33,98.5,4.13,0,0.0,1.01,-0.1,0.3,4,.500,.500,$401500,Waivers
5,Bronson Arroyo\arroybr01,32,CIN,220.1,33,33,101,4.13,4.48,0.13,0.17,99.2,4.49,9,0.9,,-0.2,2.6,28,.528,.506,$10125000,Traded
6,Jose Ascanio\ascanjo01,24,2TM,18.0,16,0,8,4.00,4.49,-0.09,-0.33,105.6,4.49,1,0.1,1.16,-0.1,0.2,3,.507,.501,$405000,Traded
7,Jairo Asencio\valdelu01,26,ATL,2.2,3,0,1,3.38,4.53,-0.09,-0.33,107.7,4.62,0,0.0,.78,0.0,0.1,1,.513,.500,,Free Agency
8,Mitch Atkins\atkinmi01,23,CHC,2.0,2,0,0,0.00,4.12,-0.17,-0.30,112.0,4.46,1,0.1,.01,-0.1,0.1,1,.553,.501,,Amateur Draft
9,Bryan Augenstein\augenbr01,22,ARI,17.0,7,2,16,8.47,4.51,0.03,0.01,108.5,4.87,-7,-0.7,.40,0.0,-0.5,-5,.407,.496,,Amateur Draft
10,John Axford\axforjo01,26,MIL,7.2,7,0,3,3.52,4.48,0.01,-0.33,111.5,4.61,1,0.1,.28,-0.1,0.1,2,.514,.501,,Free Agency
11,Luis Ayala\ayalalu01,31,FLA,7.2,10,0,10,11.74,4.69,-0.39,-0.35,101.1,4.79,-6,-0.6,1.53,-0.2,-0.7,-5,.441,.496,,Free Agency
12,Brandon Backe\backebr01,31,HOU,13.0,5,1,15,10.38,4.42,-0.01,-0.17,102.6,4.37,-9,-0.8,.23,0.2,-0.5,-8,.345,.495,$1550000,Traded
13,Burke Badenhop\badenbu01,26,FLA,72.0,35,2,32,4.00,4.70,-0.33,-0.30,103.0,4.87,7,0.7,1.18,-0.1,1.3,13,.521,.504,$400000,Traded
14,Homer Bailey\baileho02,23,CIN,113.1,20,20,61,4.84,4.55,0.12,0.18,100.9,4.64,-3,-0.3,,-0.1,0.6,7,.486,.498,$400500,Amateur Draft
15,Collin Balester\balesco01,23,WSN,30.1,7,7,24,7.12,4.53,-0.33,0.18,100.1,5.03,-7,-0.7,,0.0,-0.4,-4,.404,.496,$410000,Amateur Draft
16,Josh Banks\banksjo01,26,SDP,22.2,6,3,18,7.15,4.41,-0.11,0.01,86.2,3.90,-8,-0.8,1.62,-0.1,-0.7,-6,.374,.495,,Waivers
17,Antonio Bastardo*\bastaan01,23,PHI,23.2,6,5,18,6.85,4.70,0.11,0.16,92.4,4.39,-6,-0.6,.60,0.0,-0.4,-4,.398,.496,$400000,Amateur Free Agent
18,Denny Bautista\bautide01,28,PIT,13.2,14,0,8,5.27,4.48,0.14,-0.33,97.4,3.91,-2,-0.2,1.06,0.0,-0.1,-1,.485,.499,,Traded
19,Yorman Bazardo\bazaryo01,24,HOU,32.0,10,6,31,8.72,4.61,-0.01,0.04,98.8,4.61,-15,-1.3,.20,0.1,-1.0,-12,.366,.492,,Free Agency
20,Joe Beimel*\beimejo01,32,2TM,55.1,71,0,24,3.90,4.67,-0.22,-0.34,103.7,4.71,5,0.5,1.23,0.0,1.0,10,.507,.502,$2000000,Traded
21,Ronald Belisario\belisro01,26,LAD,70.2,69,0,21,2.67,4.42,0.08,-0.33,97.4,3.91,10,1.0,1.19,0.0,1.6,16,.515,.506,,Free Agency
22,Matt Belisle\belisma01,29,COL,31.0,24,0,21,6.10,4.48,0.05,-0.33,109.8,4.50,-6,-0.6,.69,0.0,-0.3,-3,.477,.497,,Free Agency
23,Heath Bell\bellhe01,31,SDP,69.2,68,0,21,2.71,4.48,-0.07,-0.33,88.4,3.73,8,0.8,1.84,0.2,1.6,14,.512,.505,$1255000,Traded
24,Jeff Bennett\benneje01,29,ATL,34.0,33,0,13,3.44,4.52,-0.08,-0.27,98.8,4.27,3,0.3,1.20,0.0,0.6,6,.510,.502,$437500,Free Agency
25,Justin Berg\bergju01,25,CHC,12.0,11,0,1,0.75,4.63,-0.15,-0.34,106.5,4.73,5,0.6,.23,-0.2,0.4,6,.552,.504,$400000,Traded
26,Jason Bergmann\bergmja01,27,WSN,48.0,56,0,28,5.25,4.61,-0.30,-0.34,99.9,4.56,-4,-0.4,1.21,-0.1,-0.1,0,.493,.498,$439000,Amateur Draft
27,Rafael Betancourt\betanra01,34,COL,25.1,32,0,5,1.78,4.40,0.04,-0.32,112.4,4.54,8,0.8,1.62,0.2,1.3,10,.526,.505,,Traded
28,Chad Billingsley\billich01,24,LAD,196.1,33,32,94,4.31,4.44,0.08,0.16,94.4,4.27,-1,-0.1,.46,-0.1,1.4,16,.496,.499,$475000,Amateur Draft
29,Joe Blanton\blantjo01,28,PHI,195.1,31,31,89,4.10,4.56,0.10,0.18,98.5,4.57,10,1.1,,-0.1,2.6,27,.534,.506,$5475000,Traded
30,Mitchell Boggs\boggsmi01,25,STL,58.0,16,9,28,4.34,4.34,0.15,0.09,95.8,4.10,-2,-0.2,.88,-0.1,0.3,3,.489,.499,$400000,Amateur Draft
31,Chris Bootcheck\bootcch01,30,PIT,14.2,13,0,18,11.05,4.52,0.16,-0.33,102.2,4.12,-11,-1.1,.56,0.2,-0.8,-10,.416,.493,,Free Agency
32,Blaine Boyer\boyerbl01,27,3TM,54.2,48,0,36,5.93,4.51,0.06,-0.29,105.0,4.37,-10,-0.9,.60,-0.1,-0.5,-5,.481,.499,$432500,Waivers
33,Lance Broadway\broadla01,25,NYM,14.2,8,0,11,6.75,4.60,-0.01,-0.34,102.6,4.39,-4,-0.4,.22,0.1,-0.1,-3,.452,.498,,Traded
34,Doug Brocail\brocado01,42,HOU,17.2,20,0,9,4.58,4.49,-0.01,-0.33,98.4,4.10,-1,-0.1,.65,0.0,0.0,1,.495,.499,$2500000,Free Agency
35,Jonathan Broxton\broxtjo01,25,LAD,76.0,73,0,24,2.84,4.46,0.06,-0.33,96.1,3.91,9,0.9,1.71,0.2,1.8,15,.513,.506,$1825000,Amateur Draft
36,Billy Buckner\bucknbi02,25,ARI,77.1,16,13,57,6.63,4.55,0.03,0.15,103.1,4.82,-16,-1.5,.67,0.0,-0.9,-9,.407,.491,$403000,Traded
37,Madison Bumgarner*\bumgama01,19,SFG,10.0,4,1,2,1.80,4.43,0.05,-0.06,97.9,4.23,3,0.3,.42,-0.1,0.3,4,.573,.502,,Amateur Draft
38,Greg Burke\burkegr01,26,SDP,45.2,48,0,23,4.53,4.54,-0.09,-0.33,91.0,3.91,-3,-0.3,.89,-0.1,0.0,1,.493,.498,,Amateur Free Agent
39,Sean Burnett*\burnese01,26,2TM,57.2,71,0,21,3.28,4.59,-0.04,-0.34,99.9,4.29,6,0.7,1.01,-0.1,1.1,11,.509,.502,$408500,Amateur Draft
40,Mike Burns\burnsmi01,30,MIL,51.2,15,8,36,6.27,4.46,0.01,0.07,96.9,4.37,-11,-1.1,.39,0.0,-0.6,-7,.429,.493,,Free Agency
41,Jared Burton\burtoja01,28,CIN,59.1,53,0,30,4.55,4.51,0.13,-0.33,98.6,3.99,-4,-0.4,.87,-0.1,0.0,1,.493,.498,$420000,Rule 5 Draft
42,Dave Bush\bushda01,29,MIL,114.1,22,21,84,6.61,4.49,0.01,0.17,98.0,4.56,-26,-2.5,.41,-0.1,-1.6,-16,.388,.485,$4000000,Traded
43,Josh Butler\butlejo03,24,MIL,4.0,3,0,4,9.00,4.61,0.02,-0.34,96.0,4.08,-2,-0.2,.24,0.1,-0.1,-2,.429,.499,,Traded
44,Tim Byrdak*\byrdati01,35,HOU,61.1,76,0,23,3.38,4.66,-0.01,-0.34,98.9,4.28,6,0.6,1.06,-0.1,1.1,11,.508,.504,$1000000,Free Agency
