Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,David Aardsma\aardsda01,22,SFG,10.2,11,0,8,6.75,5.03,-0.37,-0.37,98.5,4.96,-2,-0.2,1.07,0.0,-0.2,-1,.480,.499,$300000,Amateur Draft
2,Paul Abbott\abbotpa01,36,PHI,49.0,10,10,37,6.80,4.75,0.11,0.18,102.7,4.96,-10,-1.0,,0.0,-0.6,-6,.405,.494,,Free Agency
3,Jose Acevedo\acevejo01,26,CIN,157.2,39,27,108,6.16,4.66,0.04,0.12,97.9,4.64,-27,-2.6,.85,-0.1,-1.4,-13,.433,.484,$340000,Amateur Free Agent
4,Mike Adams\adamsmi03,25,MIL,53.0,46,0,21,3.57,4.76,-0.12,-0.35,99.7,4.51,5,0.5,1.38,0.0,1.0,10,.512,.503,,Amateur Free Agent
5,Antonio Alfonseca\alfonan01,32,ATL,73.2,79,0,24,2.93,4.77,0.27,-0.35,99.2,4.11,9,1.0,.96,-0.2,1.4,16,.512,.506,$1350000,Free Agency
6,Armando Almanza*\almanar01,31,ATL,11.2,13,0,8,6.17,4.62,0.24,-0.34,98.6,3.98,-3,-0.3,.68,0.0,-0.2,-2,.478,.498,$500000,Free Agency
7,Wilson Alvarez*\alvarwi01,34,LAD,120.2,40,15,56,4.18,4.81,0.33,-0.02,96.0,4.28,1,0.1,.70,-0.2,1.0,12,.502,.501,$1500000,Free Agency
8,Jimmy Anderson*\anderji02,28,CHC,9.2,7,0,5,4.66,5.06,-0.12,-0.37,99.7,4.79,0,0.0,.95,0.0,0.1,1,.501,.500,,Free Agency
9,Rick Ankiel*\ankieri01,24,STL,10.0,5,0,6,5.40,4.24,0.19,-0.12,103.6,4.07,-2,-0.2,1.22,0.0,-0.1,-1,.470,.499,$320000,Amateur Draft
10,Greg Aquino\aquingr01,26,ARI,35.1,34,0,15,3.82,4.85,-0.03,-0.36,106.3,4.81,4,0.4,1.73,0.1,0.8,7,.511,.502,,Amateur Free Agent
11,Tony Armas\armasto02,26,MON,72.0,16,16,41,5.13,4.76,0.28,0.18,106.4,4.96,-2,-0.2,,0.0,0.4,5,.490,.499,$2100000,Traded
12,Andy Ashby\ashbyan01,36,SDP,2.0,2,0,0,0.00,5.19,-0.05,-0.38,85.7,4.16,1,0.1,.12,0.0,0.1,1,.548,.501,,Free Agency
13,Luis Ayala\ayalalu01,26,MON,90.1,81,0,30,2.99,4.67,0.30,-0.34,104.9,4.23,12,1.2,1.43,0.1,2.1,20,.515,.508,$317500,Purchased
14,Brandon Backe\backebr01,26,HOU,67.0,33,9,33,4.43,4.77,0.20,0.01,100.0,4.57,1,0.1,.85,-0.1,0.6,7,.502,.500,,Traded
15,James Baldwin\baldwja01,32,NYM,6.0,2,2,10,15.00,4.60,-0.34,0.18,104.7,5.36,-6,-0.5,,0.0,-0.4,-6,.254,.497,,Free Agency
16,Rod Beck\beckro01,35,SDP,24.0,26,0,18,6.75,4.69,-0.06,-0.35,93.4,4.11,-7,-0.7,.66,0.1,-0.4,-5,.473,.496,,Free Agency
17,Josh Beckett\beckejo02,24,FLA,156.2,26,26,72,4.14,4.67,0.08,0.18,95.7,4.56,7,0.7,,-0.1,1.9,21,.526,.504,$1509375,Amateur Draft
18,Heath Bell\bellhe01,26,NYM,24.1,17,0,9,3.33,4.66,-0.18,-0.34,99.5,4.47,3,0.3,.95,-0.1,0.5,5,.518,.502,,Amateur Free Agent
19,Francis Beltran\beltrfr01,24,2TM,49.1,45,0,31,5.66,4.88,0.04,-0.36,102.5,4.58,-6,-0.6,.83,0.0,-0.2,-2,.487,.499,,Amateur Free Agent
20,Rigo Beltran*\beltrri01,34,MON,0.2,2,0,1,13.50,7.41,0.46,-0.54,80.0,5.13,-1,-0.1,1.90,0.0,-0.1,-1,.469,.500,,Conditional Deal
21,Armando Benitez\benitar01,31,FLA,69.2,64,0,11,1.42,4.67,0.08,-0.34,95.8,4.08,20,2.1,1.77,0.7,3.4,27,.533,.513,$3500000,Free Agency
22,Jeff Bennett\benneje01,24,MIL,71.1,60,0,43,5.43,4.79,-0.13,-0.35,100.9,4.61,-7,-0.7,.86,-0.1,-0.2,0,.489,.496,$300000,Rule 5 Draft
23,Kris Benson\bensokr01,29,2TM,200.1,31,31,106,4.76,4.77,-0.17,0.18,100.6,5.15,8,0.8,,-0.1,2.4,26,.526,.503,$6150000,Traded
24,Chad Bentz*\bentzch01,24,MON,27.2,36,0,19,6.18,4.99,0.28,-0.37,103.3,4.49,-5,-0.5,.84,0.0,-0.3,-3,.485,.497,$300000,Amateur Draft
25,Adam Bernero\bernead01,27,COL,32.1,16,2,20,5.57,5.06,-0.16,-0.20,117.4,5.89,1,0.1,.81,-0.1,0.3,4,.507,.501,$320000,Traded
26,Rocky Biddle\biddlro01,28,MON,78.0,47,9,69,7.96,4.73,0.33,-0.05,105.4,4.59,-30,-2.8,1.26,-0.3,-2.4,-22,.440,.482,$1950000,Traded
27,Brian Boehringer\boehrbr01,35,PIT,25.1,21,0,14,4.97,5.05,-0.13,-0.37,100.5,4.83,-1,-0.1,.79,0.0,0.1,2,.498,.500,$2000000,Free Agency
28,Jung Bong*\bongju01,23,CIN,15.1,3,3,13,7.63,5.03,0.05,0.20,96.0,4.98,-5,-0.4,,0.0,-0.3,-3,.364,.497,,Traded
29,Toby Borland\borlato02,35,FLA,18.1,18,0,11,5.40,4.71,0.09,-0.35,91.3,3.90,-3,-0.3,1.03,0.0,-0.2,-1,.483,.498,,Free Agency
30,Joe Borowski\borowjo01,33,CHC,21.1,22,0,19,8.02,4.79,-0.12,-0.35,99.8,4.55,-8,-0.8,1.68,-0.3,-1.0,-6,.463,.495,$2000000,Free Agency
31,Ricky Bottalico\bottari01,34,NYM,69.1,60,0,30,3.89,4.79,-0.20,-0.35,100.3,4.65,6,0.6,1.17,-0.1,1.1,12,.509,.503,,Free Agency
32,Jason Boyd\boydja02,31,PIT,13.0,12,0,9,6.23,4.80,-0.14,-0.35,103.6,4.75,-2,-0.2,.66,0.0,-0.1,-1,.482,.499,$350000,Waivers
33,Yhency Brazoban\brazoyh01,24,LAD,32.2,31,0,9,2.48,4.54,0.31,-0.33,99.0,3.86,5,0.5,1.15,0.0,0.8,8,.516,.503,,Traded
34,Frank Brooks*\brookfr01,25,PIT,17.1,11,1,10,5.19,4.64,-0.12,-0.19,99.9,4.56,-1,-0.1,.46,0.0,0.0,0,.488,.499,,Rule 5 returned
35,Jim Brower\broweji01,31,SFG,93.0,89,0,42,4.06,4.73,-0.29,-0.35,101.4,4.74,7,0.7,1.53,0.0,1.5,15,.508,.504,$662500,Traded
36,Brian Bruney\brunebr01,22,ARI,31.1,30,0,16,4.60,4.85,-0.03,-0.36,103.0,4.66,0,0.0,1.16,-0.1,0.2,3,.500,.500,,Amateur Draft
37,Kirk Bullinger\bulliki01,34,HOU,30.2,27,0,22,6.46,4.73,0.25,-0.35,100.6,4.16,-8,-0.8,.69,0.1,-0.5,-5,.471,.495,,Free Agency
38,Nate Bump\bumpna01,27,FLA,73.2,50,2,46,5.62,4.66,0.10,-0.30,95.6,4.07,-13,-1.3,1.26,-0.3,-0.9,-6,.474,.492,$305000,Traded
39,Dave Burba\burbada01,37,2TM,77.0,51,0,40,4.68,4.66,-0.14,-0.34,101.4,4.52,-2,-0.2,.93,-0.2,0.4,5,.497,.500,$440000,Free Agency
40,A.J. Burnett\burnea.01,27,FLA,120.0,20,19,50,3.75,4.68,0.08,0.17,93.1,4.44,9,0.9,.60,-0.1,1.8,20,.545,.506,$2500000,Traded
41,Sean Burnett*\burnese01,21,PIT,71.2,13,13,41,5.15,4.49,-0.16,0.17,99.9,4.82,-3,-0.3,,0.0,0.3,4,.478,.498,,Amateur Draft
42,Mike Bynum*\bynummi01,26,SDP,0.2,2,0,4,54.00,5.60,-0.08,-0.42,120.0,6.32,-4,-0.3,.80,0.0,-0.3,-3,.346,.498,,Amateur Draft
43,Paul Byrd\byrdpa01,33,ATL,114.1,19,19,57,4.49,4.55,0.28,0.18,99.2,4.41,-1,-0.2,,-0.1,0.7,9,.492,.499,$7000000,Free Agency
44,Kiko Calero\calerki01,29,STL,45.1,41,0,14,2.78,4.62,0.15,-0.34,98.5,4.07,6,0.6,1.20,0.0,1.0,10,.516,.504,$305000,Free Agency
45,Carmen Cali*\calica01,25,STL,7.1,10,0,7,8.59,4.69,0.22,-0.35,99.0,4.09,-4,-0.4,.37,0.1,-0.2,-3,.464,.498,,Amateur Draft
46,Jose Capellan\capeljo01,23,ATL,8.0,3,2,10,11.25,4.10,0.34,0.04,99.4,3.78,-7,-0.6,.13,0.1,-0.4,-6,.314,.497,,Amateur Free Agent
47,Chris Capuano*\capuach01,25,MIL,88.1,17,17,55,5.60,4.78,-0.11,0.19,102.3,5.20,-4,-0.4,,-0.1,0.3,4,.475,.497,$305000,Traded
48,Chris Carpenter\carpech01,29,STL,182.0,28,28,75,3.71,4.66,0.18,0.18,99.0,4.62,18,1.9,,-0.1,3.3,34,.566,.511,$300000,Free Agency
49,Giovanni Carrara\carragi01,36,LAD,53.2,42,0,15,2.52,4.81,0.32,-0.31,97.1,4.06,9,0.9,1.08,-0.1,1.3,14,.522,.506,,Free Agency
50,Shawn Chacon\chacosh01,26,COL,63.1,66,0,52,7.39,4.78,-0.15,-0.35,113.7,5.21,-16,-1.6,1.48,-0.5,-1.5,-10,.477,.490,$1850000,Amateur Draft
51,Randy Choate*\choatra01,28,ARI,50.2,74,0,26,4.62,4.99,-0.04,-0.37,106.0,4.93,2,0.2,1.21,-0.1,0.5,6,.502,.501,$325750,Traded
52,Jason Christiansen*\chrisja01,34,SFG,36.0,60,0,20,5.00,5.21,-0.29,-0.38,101.8,5.20,1,0.1,1.72,-0.1,0.3,4,.501,.500,$2433333,Free Agency
53,Brandon Claussen*\clausbr01,25,CIN,66.0,14,14,50,6.82,4.43,0.05,0.17,101.0,4.60,-17,-1.5,,0.0,-1.0,-10,.392,.491,,Traded
54,Roger Clemens\clemero02,41,HOU,214.1,33,33,76,3.19,4.64,0.17,0.18,100.3,4.66,34,3.7,,-0.1,5.4,54,.612,.523,$5000000,Free Agency
55,Matt Clement\clemema01,29,CHC,181.0,30,30,79,3.93,4.71,-0.09,0.18,101.4,5.06,22,2.3,,-0.1,3.8,39,.578,.514,$6000000,Traded
56,Roman Colon\colonro01,24,ATL,19.0,18,0,9,4.26,4.72,0.26,-0.35,97.7,4.01,-1,-0.1,.65,0.0,0.1,1,.497,.500,,Amateur Free Agent
57,Aaron Cook\cookaa01,25,COL,96.2,16,16,47,4.38,4.79,-0.17,0.19,111.9,5.75,14,1.6,,-0.1,2.3,23,.597,.510,,Amateur Draft
58,Brian Cooper\coopebr01,29,SFG,13.1,5,2,13,8.78,4.62,-0.32,0.01,98.5,4.87,-6,-0.5,.38,0.0,-0.4,-5,.393,.497,,Free Agency
59,Roy Corcoran\corcoro01,24,MON,5.1,5,0,4,6.75,4.68,0.33,-0.34,105.9,4.24,-2,-0.1,.82,0.0,-0.1,-1,.470,.499,,Amateur Free Agent
60,Chad Cordero\cordech01,22,MON,82.2,69,0,28,3.05,4.77,0.26,-0.35,104.5,4.34,12,1.2,1.39,0.1,2.0,19,.517,.507,$300000,Amateur Draft
61,Mark Corey\coreyma02,29,PIT,35.2,31,0,20,5.05,4.86,-0.14,-0.36,100.4,4.67,-2,-0.2,.55,0.0,0.1,2,.495,.499,,Free Agency
62,Lance Cormier\cormila01,23,ARI,45.1,17,5,42,8.34,4.77,-0.04,-0.11,106.4,5.00,-17,-1.6,.76,0.0,-1.2,-13,.407,.490,,Amateur Draft
63,Rheal Cormier*\cormirh01,37,PHI,81.0,84,0,32,3.56,4.70,0.10,-0.35,105.8,4.51,8,0.8,1.49,0.0,1.6,16,.510,.505,$3000000,Free Agency
64,Kevin Correia\correke01,23,SFG,19.0,12,1,20,9.47,4.75,-0.32,-0.29,96.8,4.62,-10,-1.0,.26,0.3,-0.5,-9,.419,.494,,Amateur Draft
65,Jim Crowell*\croweji01,30,PHI,3.0,4,0,2,6.00,4.98,0.17,-0.37,109.7,4.87,0,0.0,.17,0.0,0.0,0,.490,.500,,Purchased
66,Juan Cruz\cruzju02,25,ATL,72.0,50,0,24,3.00,4.62,0.23,-0.34,99.3,4.03,8,0.8,.60,-0.3,1.1,15,.516,.505,$370000,Traded
67,Will Cunnane\cunnawi01,30,ATL,12.1,9,0,10,7.30,4.77,0.29,-0.35,103.1,4.25,-4,-0.4,.59,0.1,-0.2,-3,.454,.497,$525000,Free Agency
68,Casey Daigle\daiglca01,23,ARI,49.0,10,10,41,7.53,4.84,-0.04,0.19,110.0,5.58,-11,-1.0,,0.0,-0.6,-6,.400,.494,$300000,Amateur Draft
69,Vic Darensbourg*\darenvi01,33,NYM,5.2,5,0,5,7.94,4.72,-0.31,-0.35,101.1,4.74,-2,-0.2,.54,0.0,-0.1,-2,.460,.499,,Free Agency
70,Doug Davis*\davisdo02,28,MIL,207.1,34,34,84,3.65,4.71,-0.11,0.18,100.2,5.02,31,3.3,,-0.1,4.9,50,.598,.520,$450000,Free Agency
71,Zach Day\dayza01,26,MON,116.2,19,19,53,4.09,4.59,0.31,0.17,106.1,4.73,8,0.8,,-0.1,1.7,19,.543,.505,$315000,Traded
72,Jorge De La Rosa*\rosajo01,23,MIL,22.2,5,5,20,7.94,4.70,-0.15,0.18,103.1,5.20,-7,-0.6,,0.0,-0.5,-5,.374,.496,,Traded
73,Mike DeJean\dejeami01,33,NYM,21.1,17,0,5,2.11,4.79,-0.20,-0.35,100.5,4.66,6,0.6,.77,-0.1,0.7,8,.536,.504,,Traded
74,Ryan Dempster\dempsry01,27,CHC,20.2,23,0,9,3.92,4.57,-0.10,-0.34,102.2,4.42,1,0.1,1.26,0.0,0.3,3,.505,.501,$300000,Free Agency
75,Elmer Dessens\desseel01,33,2TM,105.0,50,10,61,5.23,4.81,0.02,-0.12,105.5,4.92,-4,-0.4,.70,-0.2,0.4,6,.492,.498,$4000000,Traded
76,Scott Dohmann\dohmasc01,26,COL,46.0,41,0,22,4.30,4.77,-0.13,-0.35,118.1,5.37,5,0.5,.72,-0.2,0.8,10,.513,.503,,Amateur Draft
77,Octavio Dotel\doteloc01,30,HOU,34.2,32,0,15,3.89,4.73,0.15,-0.35,99.9,4.23,1,0.1,1.37,0.0,0.4,4,.504,.501,$2800000,Traded
78,Scott Downs*\downssc01,28,MON,63.0,12,12,47,6.71,4.80,0.33,0.19,106.1,4.95,-13,-1.2,,0.0,-0.7,-7,.402,.493,,Traded
79,Darren Dreifort\dreifda01,32,LAD,50.2,60,0,25,4.44,4.84,0.28,-0.36,97.1,4.08,-2,-0.2,1.14,-0.1,0.1,2,.496,.499,$12400000,Free Agency
80,Tim Drew\drewti01,25,ATL,16.0,11,0,11,6.19,4.66,0.31,-0.23,94.8,3.90,-4,-0.4,.12,0.1,-0.2,-3,.463,.497,,Free Agency
81,Travis Driskill\drisktr01,32,COL,8.1,5,0,6,6.48,4.78,-0.17,-0.35,125.9,5.79,-1,-0.1,.80,0.0,0.0,0,.487,.500,,Free Agency
82,Brandon Duckworth\duckwbr01,28,HOU,39.1,19,6,30,6.86,4.71,0.24,-0.07,101.7,4.48,-11,-1.0,.37,0.1,-0.6,-7,.446,.494,$390000,Traded
83,Chad Durbin\durbich01,26,ARI,9.1,7,0,10,9.64,5.09,-0.04,-0.38,99.3,4.72,-5,-0.5,.86,0.0,-0.4,-4,.430,.497,,Waivers
