Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,Paul Abbott\abbotpa01,33,SEA,163.0,28,27,79,4.36,4.95,0.63,0.18,95.1,4.27,-3,-0.2,1.14,-0.1,1.3,17,.491,.498,$1700000,Free Agency
2,Carlos Almanzar\almanca01,27,NYY,10.2,10,0,4,3.38,4.79,-0.42,-0.36,97.6,4.73,2,0.2,1.00,0.0,0.3,3,.515,.501,$270000,Traded
3,Matt Anderson\anderma01,24,DET,56.0,62,0,33,5.30,4.92,-0.20,-0.37,97.3,4.62,-5,-0.4,1.35,-0.2,0.0,2,.493,.497,$355000,Amateur Draft
4,Rolando Arrojo\arrojro01,35,BOS,103.1,41,9,44,3.83,4.74,-0.31,-0.10,99.7,4.94,12,1.2,1.53,0.0,2.4,24,.530,.508,$1625000,Traded
5,Jeff Austin\austije01,24,KCR,26.0,21,0,17,5.88,5.15,0.27,-0.39,108.7,4.88,-3,-0.3,.57,0.0,0.0,0,.486,.498,,Amateur Draft
6,Mike Bacsik*\bacsimi02,23,CLE,9.0,3,0,10,10.00,5.67,-0.40,0.00,100.4,6.10,-4,-0.3,.93,0.0,-0.3,-3,.384,.498,,Amateur Draft
7,Danys Baez\baezda01,23,CLE,50.1,43,0,22,3.93,4.98,-0.25,-0.38,101.0,4.90,5,0.5,1.29,0.0,1.0,11,.512,.503,,Amateur Free Agent
8,Cory Bailey\baileco01,30,KCR,67.1,53,0,28,3.74,5.05,0.27,-0.38,108.1,4.76,7,0.7,1.13,-0.1,1.4,15,.514,.504,,Free Agency
9,James Baldwin\baldwja01,29,CHW,95.2,17,16,56,5.27,4.80,0.05,0.16,102.7,5.05,-3,-0.3,1.08,-0.1,0.7,8,.484,.498,$5950000,Amateur Draft
10,John Bale*\balejo01,27,BAL,26.2,14,0,14,4.73,5.06,-0.07,-0.38,92.7,4.40,-1,-0.1,.90,0.0,0.1,2,.492,.499,,Traded
11,Grant Balfour\balfogr01,23,MIN,2.2,2,0,4,13.50,6.11,0.19,-0.46,94.3,5.15,-2,-0.2,.36,0.1,-0.1,-2,.390,.499,,Amateur Free Agent
12,Willie Banks\bankswi01,32,BOS,10.2,5,0,4,3.38,4.53,-0.27,-0.34,96.1,4.28,1,0.1,.27,-0.1,0.2,2,.520,.501,,Free Agency
13,Lorenzo Barcelo\barcelo01,23,CHW,21.0,17,0,13,5.57,5.26,0.04,-0.40,102.0,4.92,-2,-0.2,.88,0.0,0.0,1,.491,.499,,Traded
14,Rick Bauer\bauerri01,24,BAL,33.0,6,6,22,6.00,5.21,-0.09,0.19,91.9,5.05,-4,-0.3,,0.0,0.0,0,.443,.498,,Amateur Draft
15,Rod Beck\beckro01,32,BOS,80.2,68,0,42,4.69,4.92,-0.32,-0.37,100.0,4.87,1,0.1,1.48,-0.1,0.8,11,.502,.501,$4500000,Traded
16,Kevin Beirne\beirnke01,27,TOR,7.0,5,0,10,12.86,4.78,-0.03,-0.36,97.6,4.34,-7,-0.6,.63,0.1,-0.4,-6,.383,.496,$223000,Traded
17,Rob Bell\bellro01,24,TEX,105.1,18,18,87,7.43,5.05,-0.30,0.18,104.8,5.80,-20,-1.8,,-0.1,-0.7,-7,.402,.489,,Traded
18,Joaquin Benoit\benoijo01,23,TEX,5.0,1,1,6,10.80,4.90,-0.33,0.18,108.0,5.85,-3,-0.2,,0.0,-0.2,-2,.284,.499,,Amateur Free Agent
19,Adam Bernero\bernead01,24,DET,12.1,5,0,13,9.49,4.60,-0.23,-0.18,102.4,4.76,-7,-0.6,.47,0.1,-0.4,-5,.384,.496,,Amateur Free Agent
20,Rocky Biddle\biddlro01,25,CHW,128.2,30,21,87,6.09,5.04,0.04,0.12,101.6,5.20,-13,-1.3,1.23,-0.1,0.0,2,.458,.492,$205000,Amateur Draft
21,Nick Bierbrodt*\bierbni01,23,TBD,61.1,11,11,38,5.58,5.03,-0.17,0.19,100.2,5.40,-2,-0.1,,0.0,0.5,6,.487,.499,,Traded
22,Willie Blair\blairwi01,35,DET,24.0,9,4,30,11.25,4.87,-0.25,0.02,103.8,5.34,-16,-1.4,.91,0.0,-1.1,-13,.350,.492,,Free Agency
23,Brian Boehringer\boehrbr01,32,NYY,34.2,22,0,15,3.89,5.16,-0.36,-0.39,99.7,5.12,5,0.5,.92,-0.1,0.7,9,.521,.503,$350000,Free Agency
24,Pedro Borbon*\borbope02,33,TOR,53.1,71,0,24,4.05,5.01,-0.02,-0.38,101.6,4.73,4,0.4,1.35,0.0,0.9,10,.505,.502,$1500000,Traded
25,Dave Borkowski\borkoda01,24,DET,29.2,15,0,21,6.37,4.88,-0.19,-0.37,98.0,4.61,-6,-0.6,.56,0.1,-0.2,-2,.462,.497,,Free Agency
26,Toby Borland\borlato02,32,ANA,3.1,2,0,5,13.50,4.49,0.41,-0.34,92.0,3.45,-4,-0.3,.79,0.0,-0.3,-3,.342,.498,,Free Agency
27,Brian Bowles\bowlebr01,24,TOR,3.2,2,0,0,0.00,4.71,-0.02,-0.36,104.0,4.55,2,0.2,.19,-0.1,0.1,2,.596,.501,,Amateur Draft
28,Chad Bradford\bradfch01,26,OAK,36.2,35,0,12,2.95,5.13,0.12,-0.39,96.6,4.47,6,0.6,1.27,0.0,1.0,10,.517,.504,,Traded
29,Jeff Brantley\brantje01,37,TEX,21.0,18,0,12,5.14,5.10,-0.31,-0.38,103.6,5.20,0,0.0,.66,0.0,0.2,2,.500,.500,$650000,Free Agency
30,Leslie Brea\breale01,27,BAL,2.0,2,0,4,18.00,4.88,-0.14,-0.37,94.0,4.37,-3,-0.3,1.18,0.0,-0.3,-3,.368,.498,,Traded
31,Mark Buehrle*\buehrma01,22,CHW,221.1,32,32,89,3.62,4.93,0.04,0.18,101.7,5.16,37,3.9,,-0.1,6.0,63,.621,.524,$225000,Amateur Draft
32,Dave Burba\burbada01,34,CLE,150.2,32,27,112,6.69,4.69,-0.33,0.14,101.3,5.22,-25,-2.3,.88,-0.1,-0.9,-8,.427,.486,$5000000,Traded
33,Paul Byrd\byrdpa01,30,KCR,93.1,16,15,45,4.34,5.11,0.33,0.18,104.3,5.17,8,0.8,.92,-0.1,1.7,19,.552,.505,,Traded
34,Mickey Callaway\callami01,26,TBD,5.0,2,0,4,7.20,5.35,-0.18,-0.40,98.0,5.02,-1,-0.1,.27,0.0,0.0,-1,.442,.499,,Amateur Draft
35,Chris Carpenter\carpech01,26,TOR,215.2,34,34,112,4.67,4.93,-0.02,0.18,100.9,5.18,11,1.1,,-0.1,3.2,37,.533,.507,$2583333,Amateur Draft
36,Hector Carrasco\carrahe01,31,MIN,73.2,56,0,40,4.89,5.03,0.17,-0.38,101.0,4.52,-3,-0.3,.93,-0.1,0.3,5,.494,.498,$400000,Free Agency
37,Carlos Castillo\castica02,26,BOS,3.0,2,0,2,6.00,4.78,-0.41,-0.36,104.0,5.02,0,0.0,.57,0.0,0.0,0,.483,.500,,Free Agency
38,Frank Castillo\castifr01,32,BOS,136.2,26,26,72,4.74,4.92,-0.34,0.18,99.4,5.41,9,0.9,,-0.1,2.3,26,.536,.506,$2250000,Free Agency
