Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,Paul Abbott\abbotpa01,35,KCR,47.2,10,8,29,5.48,4.63,-0.30,0.12,105.8,5.34,-1,-0.1,.27,0.0,0.4,5,.494,.500,,Traded
2,Juan Acevedo\aceveju01,33,2TM,38.1,39,0,32,7.51,4.94,-0.29,-0.37,99.7,4.84,-11,-1.1,1.34,-0.3,-1.0,-7,.473,.496,$900000,Free Agency
3,Jon Adkins\adkinjo01,25,CHW,9.1,4,0,5,4.82,4.96,0.14,-0.37,112.4,5.00,0,0.0,.06,0.0,0.1,1,.505,.500,,Traded
4,Jeremy Affeldt*\affelje01,24,KCR,126.0,36,18,58,4.14,4.81,-0.29,0.04,106.2,5.46,19,1.9,1.37,0.0,3.2,33,.552,.512,$313000,Amateur Draft
5,Kurt Ainsworth\ainswku01,24,BAL,2.1,3,0,3,11.57,6.11,-0.01,-0.46,103.9,5.88,-1,-0.1,.82,0.0,-0.1,-1,.454,.499,,Traded
6,Hector Almonte\almonhe01,27,BOS,7.2,7,0,7,8.22,4.72,-0.15,-0.35,101.6,4.59,-3,-0.3,.16,0.1,-0.1,-2,.458,.498,,Free Agency
7,Brian Anderson*\anderbr02,31,2TM,197.2,32,31,110,5.01,4.70,0.05,0.17,100.3,4.83,-3,-0.2,1.17,-0.1,1.7,19,.492,.496,$1500000,Free Agency
8,Jason Anderson\anderja01,24,NYY,20.2,22,0,13,5.66,5.15,-0.30,-0.39,96.5,4.89,-2,-0.2,.27,0.0,0.1,1,.492,.499,$300000,Amateur Draft
9,Matt Anderson\anderma01,26,DET,23.1,23,0,17,6.56,4.98,-0.19,-0.37,96.7,4.64,-5,-0.5,1.28,-0.1,-0.3,-2,.479,.497,$3200000,Amateur Draft
10,Kevin Appier\appieke01,35,2TM,111.2,23,23,69,5.56,4.90,0.07,0.18,97.5,4.89,-8,-0.7,,-0.1,0.4,4,.469,.495,$11500000,Traded
11,Bronson Arroyo\arroybr01,26,BOS,17.1,6,0,5,2.60,4.98,-0.12,-0.25,104.0,5.05,5,0.5,.57,-0.1,0.6,7,.582,.503,,Waivers
12,Miguel Asencio\asencmi01,22,KCR,48.1,8,8,29,5.40,4.62,-0.31,0.17,105.8,5.40,0,0.0,,0.0,0.5,5,.501,.500,$314000,Rule 5 Draft
13,Steve Avery*\averyst01,33,DET,16.0,19,0,11,6.19,5.02,-0.20,-0.38,94.6,4.57,-3,-0.3,1.42,-0.1,-0.2,-1,.486,.498,,Free Agency
14,Brandon Backe\backebr01,25,TBD,44.2,28,0,28,5.64,5.04,0.13,-0.38,98.7,4.48,-6,-0.5,1.05,-0.1,-0.2,-1,.480,.497,,Amateur Draft
15,Danys Baez\baezda01,25,CLE,75.2,73,0,36,4.28,4.74,0.15,-0.36,97.0,4.10,-1,-0.1,1.59,-0.2,0.5,7,.498,.499,$5125000,Amateur Free Agent
16,James Baldwin\baldwja01,31,MIN,15.0,10,0,10,6.00,4.59,-0.03,-0.35,102.6,4.38,-3,-0.3,.70,0.0,-0.1,-1,.474,.498,,Free Agency
17,Grant Balfour\balfogr01,25,MIN,26.0,17,1,12,4.15,4.50,-0.02,-0.29,102.2,4.33,1,0.1,.86,-0.1,0.3,3,.503,.500,,Amateur Free Agent
18,Rick Bauer\bauerri01,26,BAL,61.1,35,0,36,5.28,4.95,-0.01,-0.37,98.4,4.51,-5,-0.5,.81,-0.1,0.1,2,.486,.497,$325000,Amateur Draft
19,Rob Bell\bellro01,26,TBD,101.0,19,18,64,5.70,4.99,0.15,0.19,96.7,4.86,-9,-0.9,1.95,-0.1,0.1,2,.454,.495,,Free Agency
20,Alan Benes\benesal01,31,TEX,15.0,4,4,20,12.00,4.87,0.43,0.18,111.8,5.17,-11,-0.9,,0.0,-0.7,-10,.281,.495,,Conditional Deal
21,Armando Benitez\benitar01,30,2TM,23.2,24,0,9,3.42,5.02,0.03,-0.38,97.8,4.51,3,0.3,1.13,0.0,0.5,6,.512,.501,,Traded
22,Joaquin Benoit\benoijo01,25,TEX,105.0,25,17,67,5.74,4.85,0.33,0.14,110.9,5.17,-6,-0.6,1.28,-0.1,0.4,5,.475,.496,,Amateur Free Agent
23,Jason Bere\bereja01,32,CLE,6.2,2,2,3,4.05,3.82,0.19,0.14,93.3,3.52,0,0.0,,0.0,0.0,0,.482,.500,$1000000,Free Agency
24,Adam Bernero\bernead01,26,DET,100.2,18,17,68,6.08,4.81,-0.19,0.17,94.8,4.90,-13,-1.2,.57,-0.1,-0.2,-2,.433,.493,$314000,Amateur Free Agent
