Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
1,David Aardsma\aardsda01,26,BOS,48.2,47,0,32,5.92,4.83,0.12,-0.36,106.6,4.64,-8,-0.8,.80,-0.1,-0.3,-2,.484,.495,$403250,Traded
2,Jeremy Accardo\accarje01,26,TOR,12.1,16,0,10,7.30,4.94,0.31,-0.37,96.2,4.10,-5,-0.5,1.74,-0.2,-0.5,-3,.472,.497,$392200,Traded
3,Alfredo Aceves\aceveal01,25,NYY,30.0,6,4,8,2.40,4.82,-0.24,0.15,104.0,5.42,10,1.1,.71,0.0,1.3,13,.677,.507,,Free Agency
4,Nick Adenhart\adenhni01,21,LAA,12.0,3,3,12,9.00,4.58,0.07,0.17,101.8,4.77,-6,-0.5,,0.0,-0.4,-4,.333,.497,,Amateur Draft
5,Jonathan Albaladejo\albaljo01,25,NYY,13.2,7,0,6,3.95,5.02,-0.22,-0.37,100.6,4.90,1,0.1,.68,-0.1,0.2,3,.518,.501,$393225,Traded
6,Matt Albers\alberma01,25,BAL,49.0,28,3,21,3.86,4.74,-0.01,-0.19,101.8,4.64,3,0.3,1.26,-0.1,0.8,10,.512,.502,$395000,Traded
7,Greg Aquino\aquingr01,30,BAL,9.1,9,0,13,12.54,4.99,-0.01,-0.37,104.9,4.86,-8,-0.8,.49,0.2,-0.5,-7,.416,.495,$500000,Waivers
8,Jose Arredondo\arredjo01,24,LAA,61.0,52,0,15,2.21,4.89,0.05,-0.36,101.8,4.56,15,1.5,1.39,0.1,2.3,23,.529,.509,,Amateur Free Agent
9,Cha-Seung Baek\baekch01,28,SEA,30.0,10,1,18,5.40,4.99,0.10,-0.18,97.7,4.60,-3,-0.3,.53,0.0,0.0,1,.469,.498,$392500,Free Agency
10,Scott Baker\bakersc02,26,MIN,172.1,28,28,66,3.45,4.83,-0.17,0.18,95.6,4.95,26,2.8,,-0.1,4.4,48,.599,.517,$422500,Amateur Draft
11,John Bale*\balejo01,34,KCR,26.2,13,3,13,4.39,4.97,-0.47,-0.05,95.1,5.13,2,0.2,1.03,0.0,0.4,5,.514,.501,$2200000,Free Agency
12,Grant Balfour\balfogr01,30,TBR,58.1,51,0,10,1.54,4.83,0.09,-0.36,101.1,4.43,18,1.8,1.68,0.5,2.9,25,.536,.511,,Traded
13,Brian Bannister\bannibr01,27,KCR,182.2,32,32,127,6.26,4.97,-0.48,0.19,99.1,5.59,-17,-1.6,,-0.1,0.1,6,.449,.490,$421000,Traded
14,Brian Bass\bassbr01,26,2TM,89.1,49,4,55,5.54,4.86,-0.16,-0.23,97.6,4.68,-10,-1.0,.86,-0.1,-0.2,1,.480,.495,$390000,Conditional Deal
15,Miguel Batista\batismi01,37,SEA,115.0,44,20,89,6.97,4.97,0.11,0.06,97.4,4.79,-30,-2.8,1.62,-0.3,-2.0,-15,.436,.482,$9500000,Free Agency
16,Rick Bauer\bauerri01,31,CLE,6.0,4,0,9,13.50,4.78,0.18,-0.36,104.3,4.43,-6,-0.5,.11,0.2,-0.3,-5,.364,.497,,Free Agency
17,Denny Bautista\bautide01,27,DET,19.0,16,0,7,3.32,4.90,-0.32,-0.36,101.5,4.93,3,0.3,.70,-0.1,0.4,5,.520,.502,$395000,Traded
18,Yorman Bazardo\bazaryo01,23,DET,3.0,3,0,8,24.00,4.73,-0.42,-0.35,107.2,5.14,-6,-0.5,.12,0.2,-0.3,-6,.322,.497,$395000,Traded
19,Josh Beckett\beckejo02,28,BOS,174.1,27,27,80,4.13,4.77,0.13,0.18,106.0,5.11,16,1.7,,-0.1,3.3,38,.562,.510,$10166666,Traded
20,Erik Bedard*\bedarer01,29,SEA,81.0,15,15,38,4.22,4.85,0.09,0.19,96.2,4.76,3,0.4,,-0.1,1.1,14,.524,.502,$7000000,Traded
21,Francis Beltran\beltrfr01,28,DET,13.0,11,0,7,4.85,4.93,-0.34,-0.37,105.3,5.15,0,0.0,.40,0.0,0.1,2,.502,.500,,Free Agency
22,Armando Benitez\benitar01,35,TOR,6.1,8,0,5,7.11,4.86,0.20,-0.36,96.5,4.15,-2,-0.2,1.38,-0.1,-0.2,-1,.473,.499,,Free Agency
23,Joaquin Benoit\benoijo01,30,TEX,45.0,44,0,28,5.60,4.76,-0.24,-0.35,101.6,4.72,-5,-0.5,1.21,-0.2,-0.2,0,.488,.497,$2250000,Amateur Free Agent
24,Rafael Betancourt\betanra01,33,CLE,71.0,69,0,41,5.20,4.84,0.15,-0.36,98.0,4.24,-9,-0.9,1.33,-0.4,-0.5,0,.487,.495,$2050000,Free Agency
25,Randor Bierd\bierdra01,24,BAL,36.2,29,0,21,5.15,4.84,-0.01,-0.36,103.3,4.64,-3,-0.3,.73,-0.1,0.1,2,.491,.498,$390000,Rule 5 Draft
26,Kurt Birkins*\birkiku01,27,TBR,10.0,6,0,1,0.90,4.98,0.12,-0.37,105.1,4.73,4,0.4,.38,-0.2,0.4,5,.572,.503,$397600,Waivers
27,Nick Blackburn\blackni01,26,MIN,193.1,33,33,102,4.75,4.84,-0.20,0.18,98.1,5.12,5,0.5,,-0.1,2.3,29,.514,.503,$390000,Amateur Draft
28,Joe Blanton\blantjo01,27,OAK,127.0,20,20,74,5.24,4.91,0.31,0.19,91.8,4.39,-14,-1.4,,-0.1,-0.2,2,.432,.492,$3700000,Amateur Draft
29,Jerry Blevins*\blevije01,24,OAK,37.2,36,0,14,3.35,4.82,0.24,-0.36,95.5,4.03,2,0.2,1.17,-0.1,0.5,7,.506,.501,,Traded
30,Jeremy Bonderman\bondeje01,25,DET,71.1,12,12,39,4.92,4.72,-0.35,0.18,103.3,5.43,3,0.3,,-0.1,1.0,12,.524,.502,$8500000,Traded
31,Eddie Bonine\bonined01,27,DET,26.2,5,5,19,6.41,4.73,-0.41,0.18,95.8,5.09,-4,-0.4,,0.0,-0.2,-1,.418,.497,,Rule 5 Draft
32,Boof Bonser\bonsebo01,26,MIN,118.1,47,12,87,6.62,4.78,-0.19,-0.05,94.4,4.64,-28,-2.7,.62,0.0,-1.4,-13,.443,.483,$432500,Traded
33,Chris Bootcheck\bootcch01,29,LAA,16.0,10,0,18,10.13,4.51,0.07,-0.33,102.1,4.19,-11,-1.0,.60,0.2,-0.7,-9,.400,.494,$415000,Amateur Draft
34,Joe Borowski\borowjo01,37,CLE,16.2,18,0,14,7.56,4.74,0.19,-0.35,98.3,4.12,-7,-0.7,1.54,-0.2,-0.7,-5,.464,.496,$4000000,Free Agency
35,Michael Bowden\bowdemi01,21,BOS,5.0,1,1,2,3.60,4.89,0.15,0.19,112.0,5.51,1,0.1,,0.0,0.2,2,.605,.501,,Amateur Draft
36,Dallas Braden*\bradeda01,24,OAK,71.2,19,10,36,4.52,4.90,0.28,0.07,95.7,4.49,-2,-0.2,.32,-0.1,0.5,8,.492,.499,,Amateur Draft
37,Chad Bradford\bradfch01,33,2TM,59.1,68,0,20,3.03,4.85,0.04,-0.36,102.4,4.55,9,0.9,1.47,0.1,1.6,16,.514,.502,$3666666,Free Agency
38,Craig Breslow*\breslcr01,27,2TM,47.0,49,0,12,2.30,4.70,-0.09,-0.35,95.1,4.23,9,0.9,.87,-0.1,1.3,15,.519,.505,$392000,Waivers
39,Chris Britton\brittch01,25,NYY,23.0,15,0,13,5.09,4.83,-0.28,-0.36,101.8,4.84,-1,-0.1,.11,0.0,0.1,2,.493,.499,,Traded
40,Lance Broadway\broadla01,24,CHW,14.0,7,1,11,7.07,4.65,-0.24,-0.15,107.5,5.10,-3,-0.3,.16,0.1,-0.1,-2,.454,.498,,Amateur Draft
41,Andrew Brown\brownan01,27,OAK,35.0,31,0,13,3.34,4.76,0.24,-0.35,92.1,3.84,1,0.1,.73,-0.1,0.4,6,.504,.501,$395000,Traded
42,Brian Bruney\brunebr01,26,NYY,34.1,32,1,7,1.83,4.81,-0.20,-0.33,102.4,4.79,11,1.1,1.34,0.1,1.6,15,.535,.507,$725000,Free Agency
43,Clay Buchholz\buchhcl01,23,BOS,76.0,16,15,63,7.46,4.80,0.14,0.18,104.2,5.04,-22,-2.0,.02,0.0,-1.2,-12,.378,.488,$396000,Amateur Draft
44,Mark Buehrle*\buehrma01,29,CHW,218.2,34,34,106,4.36,4.80,-0.21,0.18,104.8,5.44,22,2.4,,-0.2,4.4,50,.569,.515,$14000000,Amateur Draft
45,Ryan Bukvich\bukviry01,30,BAL,5.1,4,0,4,6.75,4.99,-0.01,-0.37,106.1,4.92,-1,-0.1,.80,0.0,-0.1,-1,.471,.499,,Free Agency
46,Jason Bulger\bulgeja01,29,LAA,16.0,14,0,13,7.31,5.22,0.05,-0.39,102.0,4.88,-5,-0.5,.35,0.1,-0.2,-3,.468,.497,$392000,Free Agency
47,Bryan Bullington\bullibr01,27,CLE,14.2,3,2,9,5.52,4.74,0.15,0.18,104.4,4.98,-1,-0.1,.50,0.0,0.0,1,.463,.499,,Waivers
48,Jamie Burke\burkeja02,36,SEA,1.0,1,0,1,9.00,5.05,0.13,-0.38,94.0,4.28,-1,-0.1,2.33,0.0,-0.1,0,.448,.500,$435000,Free Agency
49,A.J. Burnett\burnea.01,31,TOR,221.1,35,34,109,4.43,4.86,0.24,0.18,98.1,4.71,3,0.3,2.34,-0.2,2.4,31,.509,.502,$13200000,Free Agency
50,Brian Burres*\burrebr01,27,BAL,129.2,31,22,90,6.25,4.82,-0.01,0.15,103.0,5.13,-18,-1.8,.55,-0.1,-0.5,-2,.443,.489,$395000,Waivers
